Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,Banded Clubhorn,-,Abia fasciata,-,NHMSYS0021168645,-,new_species,
INSERT,NEW,-,Red-backed Mining Bee,-,Andrena similis,-,NHMSYS0000875273,-,new_species,
INSERT,NEW,-,,-,Perilissus variator,-,NHMSYS0000900804,-,new_species,
INSERT,NEW,-,,-,Dipogon subintermedius,-,NBNSYS0000009396,-,new_species,
INSERT,NEW,-,,-,Trypoxylon figulus,-,NHMSYS0000873271,-,new_species,
INSERT,NEW,-,Lathbury's Nomad Bee,-,Nomada lathburiana,-,NHMSYS0000876435,-,new_species,
INSERT,NEW,-,,-,Priocnemis hyalinata,-,NBNSYS0000009406,-,new_species,
INSERT,NEW,-,,-,Diplazon pectoratorius,-,NHMSYS0000898595,-,new_species,
INSERT,NEW,-,Welted Lesser Mason Bee,-,Hoplitis claviventris,-,NHMSYS0000876071,-,new_species,
INSERT,NEW,-,,-,Rhogogaster chlorosoma,-,NHMSYS0020482176,-,new_species,
INSERT,NEW,-,,-,Dolerus liogaster,-,NBNSYS0000013338,-,new_species,
INSERT,NEW,-,,-,Ancistrocerus oviventris,-,NBNSYS0000009451,-,new_species,
INSERT,NEW,-,Angled Stem-sawfly,-,Cephus spinipes,-,NHMSYS0020480896,-,new_species,
INSERT,NEW,-,Pallid Tigress,-,Athalia liberta,-,NBNSYS0000013362,-,new_species,
INSERT,NEW,-,Buffish Mining Bee,-,Andrena nigroaenea,-,NHMSYS0000875243,-,new_species,
INSERT,NEW,-,Reed Stem Borer,-,Calameuta filiformis,-,NBNSYS0000013258,-,new_species,
INSERT,NEW,-,,-,Chrysis viridula,-,NHMSYS0000875674,-,new_species,
INSERT,NEW,-,Oak Apple Gall Causer,-,Biorhiza pallida,-,NBNSYS0000031939,-,new_species,
INSERT,NEW,-,,-,Monophadnus pallescens,-,NHMSYS0020481413,-,new_species,
INSERT,NEW,-,,-,Cynips longiventris,-,NBNSYS0000031935,-,new_species,
INSERT,NEW,-,,-,Macrophya rufipes,-,NBNSYS0000013504,-,new_species,
INSERT,NEW,-,,-,Cladius compressicornis,-,NHMSYS0020920100,-,new_species,
INSERT,NEW,-,,-,Monsoma pulveratum,-,NHMSYS0020481421,-,new_species,
INSERT,NEW,-,Northern White-tailed Bumblebee,-,Bombus magnus,-,NBNSYS0000009837,-,new_species,
INSERT,NEW,-,,-,Dolerus cothurnatus,-,NBNSYS0000013331,-,new_species,
