Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,Water Measurer,-,Hydrometra stagnorum,-,NHMSYS0000527548,-,new_species,
INSERT,NEW,-,,-,Myrmus miriformis,-,NHMSYS0020309492,-,new_species,
INSERT,NEW,-,,-,Pachytomella parallela,-,NHMSYS0020309612,-,new_species,
INSERT,NEW,-,,-,Metopolophium (Metopolophium) tenerum,-,NHMSYS0020927585,-,new_species,
INSERT,NEW,-,,-,Liorhyssus hyalinus,-,NHMSYS0020309367,-,new_species,
INSERT,NEW,-,,-,Chaitophorus tremulae,-,NHMSYS0020738222,-,new_species,
INSERT,NEW,-,Gorse Shieldbug,-,Piezodorus lituratus,-,NHMSYS0020309665,-,new_species,
INSERT,NEW,-,,-,Conomelus anceps,-,NHMSYS0020705295,-,new_species,
INSERT,NEW,-,,-,Streptanus marginatus,-,NHMSYS0021126493,-,new_species,
INSERT,NEW,-,,-,Scolopostethus thomsoni,-,NHMSYS0020309813,-,new_species,
INSERT,NEW,-,,-,Kalama tricornis,-,NHMSYS0020309340,-,new_species,
INSERT,NEW,-,,-,Plea minutissima,-,NHMSYS0000527574,-,new_species,
INSERT,NEW,-,Eleagnus Sucker,-,Cacopsylla fulguralis,-,NHMSYS0020974044,-,new_species,
INSERT,NEW,-,,-,Metopolophium sabihae,-,NHMSYS0021299599,-,new_species,
INSERT,NEW,-,,-,Neides tipularius,-,NHMSYS0020309510,-,new_species,
INSERT,NEW,-,,-,Eurygaster maura,-,NHMSYS0020309230,-,new_species,
INSERT,NEW,-,,-,Thamnotettix confinis,-,NBNSYS0000010569,-,new_species,
INSERT,NEW,-,,-,Acericerus heydenii,-,NHMSYS0020973325,-,new_species,
INSERT,NEW,-,,-,Anoecia furcata,-,NHMSYS0021299219,-,new_species,
INSERT,NEW,-,,-,Dysaphis (Dysaphis) bonomii,-,NHMSYS0020738252,-,new_species,
INSERT,NEW,-,,-,Delphacinus mesomelas,-,NHMSYS0020705320,-,new_species,
INSERT,NEW,-,,-,Hyledelphax elegantula,-,NHMSYS0020705627,-,new_species,
INSERT,NEW,-,,-,Dicyphus (Brachyceroea) globulifer,-,NHMSYS0020309166,-,new_species,
INSERT,NEW,-,,-,Sthenarus rotermundi,-,NHMSYS0020309858,-,new_species,
INSERT,NEW,-,,-,Dysaphis (Dysaphis) radicola,-,NHMSYS0021121669,-,new_species,
INSERT,NEW,-,Black Bean Aphid,-,Aphis (Aphis) fabae,-,NHMSYS0020705203,-,new_species,
INSERT,NEW,-,,-,Alydus calcaratus,-,NHMSYS0020308916,-,new_species,
INSERT,NEW,-,,-,Cymatia coleoptrata,-,NHMSYS0000527529,-,new_species,
INSERT,NEW,-,Tortoise Bug,-,Eurygaster testudinaria,-,NHMSYS0020309231,-,new_species,
INSERT,NEW,-,,-,Myzotoxoptera wimshurstae,-,NHMSYS0020705757,-,new_species,
INSERT,NEW,-,Cow Wheat Shieldbug,-,Adomerus biguttatus,-,NHMSYS0020308901,-,new_species,
INSERT,NEW,-,,-,Cacopsylla peregrina,-,NHMSYS0020705848,-,new_species,
INSERT,NEW,-,,-,Fagocyba cruenta,-,NHMSYS0020705596,-,new_species,
INSERT,NEW,-,,-,Hyperomyzus (Hyperomyzella) rhinanthi,-,NHMSYS0020736368,-,new_species,
INSERT,NEW,-,,-,Aphis (Bursaphis) epilobii,-,NHMSYS0020738151,-,new_species,
INSERT,NEW,-,,-,Ledra aurita,-,NHMSYS0020705689,-,new_species,
INSERT,NEW,-,,-,Speudotettix subfusculus,-,NHMSYS0020705901,-,new_species,
INSERT,NEW,-,,-,Eupelix cuspidata,-,NHMSYS0020705558,-,new_species,
INSERT,NEW,-,,-,Tachycixius pilosus,-,NHMSYS0020705926,-,new_species,
INSERT,NEW,-,Cabbage Bug,-,Eurydema (Eurydema) oleracea,-,NHMSYS0020309225,-,new_species,
INSERT,NEW,-,,-,Uroleucon (Uromelan) taraxaci,-,NHMSYS0020736500,-,new_species,
INSERT,NEW,-,,-,Arytaina genistae,-,NHMSYS0020705234,-,new_species,
INSERT,NEW,-,,-,Megamelodes lequesnei,-,NHMSYS0020442434,-,new_species,
INSERT,NEW,-,,-,Hoplomachus thunbergii,-,NHMSYS0020309324,-,new_species,
INSERT,NEW,-,,-,Rhopalosiphoninus (Pseudorhopalosiphoninus) calthae,-,NHMSYS0020927603,-,new_species,
INSERT,NEW,-,,-,Saldula c-album,-,NHMSYS0020309792,-,new_species,
INSERT,NEW,-,Green Apple Aphid,-,Aphis (Aphis) pomi,-,NHMSYS0020705206,-,new_species,
INSERT,NEW,-,,-,Hyadaphis passerinii,-,NHMSYS0021121674,-,new_species,
INSERT,NEW,-,,-,Chaetosiphon (Pentatrichopus) fragaefolii,-,NHMSYS0020736311,-,new_species,
INSERT,NEW,-,,-,Longicaudus trirhodus,-,NHMSYS0020732925,-,new_species,
INSERT,NEW,-,,-,Macrosiphoniella (Macrosiphoniella) tanacetaria,-,NHMSYS0021121684,-,new_species,
INSERT,NEW,-,,-,Saldula pallipes,-,NHMSYS0020309797,-,new_species,
INSERT,NEW,-,,-,Thelaxes dryophila,-,NHMSYS0020736484,-,new_species,
INSERT,NEW,-,,-,Hyperomyzus (Hyperomyzus) lactucae,-,NHMSYS0021121677,-,new_species,
INSERT,NEW,-,,-,Idiocerus lituratus,-,NHMSYS0020705638,-,new_species,
INSERT,NEW,-,,-,Acyrthosiphon (Acyrthosiphon) malvae,-,NHMSYS0021121727,-,new_species,
INSERT,NEW,-,,-,Phytocoris (Phytocoris) dimidiatus,-,NHMSYS0020309653,-,new_species,
