Change Type,DB ID,Old Name,New Name,Old Scientific Name,New Scientific Name,Old NBN GUID,New NBN GUID,Match Score,Match Type,Conservation Status
INSERT,NEW,-,,-,Dasineura kiefferiana,-,NBNSYS0000028214,-,new_species,
INSERT,NEW,-,,-,Botanophila seneciella,-,NBNSYS0100002055,-,new_species,
INSERT,NEW,-,,-,Speccafrons halophila,-,NBNSYS0000029879,-,new_species,
INSERT,NEW,-,,-,Scellus notatus,-,NBNSYS0000012655,-,new_species,
INSERT,NEW,-,Yellow-legged Black Legionnaire,-,Beris morrisii,-,NBNSYS0000007799,-,new_species,
INSERT,NEW,-,,-,Chalarus spurius,-,NBNSYS0000028814,-,new_species,
INSERT,NEW,-,Silver-strips Black,-,Neopachygaster meromelas,-,NBNSYS0100004215,-,new_species,
INSERT,NEW,-,,-,Melanogaster hirtella,-,NBNSYS0100003969,-,new_species,
INSERT,NEW,-,,-,Argyra vestita,-,NBNSYS0000012790,-,new_species,
INSERT,NEW,-,,-,Culicoides maritimus,-,NBNSYS0000027229,-,new_species,
INSERT,NEW,-,,-,Liriomyza congesta,-,NBNSYS0000029699,-,new_species,
INSERT,NEW,-,,-,Molophilus serpentiger,-,NBNSYS0000008273,-,new_species,
INSERT,NEW,-,Big-spotted Cleg,-,Haematopota bigoti,-,NBNSYS0000007871,-,new_species,
INSERT,NEW,-,,-,Sarcophaga crassimargo,-,NBNSYS0000156273,-,new_species,
INSERT,NEW,-,,-,Aedes cinereus,-,NBNSYS0000011589,-,new_species,
INSERT,NEW,-,,-,Pegomya haemorrhoum,-,NBNSYS0100004500,-,new_species,
INSERT,NEW,-,,-,Helina quadrum,-,NBNSYS0000030861,-,new_species,
INSERT,NEW,-,,-,Lejogaster metallina,-,NBNSYS0000007022,-,new_species,
INSERT,NEW,-,,-,Epistrophe melanostoma,-,NBNSYS0000033212,-,new_species,
INSERT,NEW,-,,-,Parasyrphus vittiger,-,NBNSYS0000006948,-,new_species,
INSERT,NEW,-,,-,Pegoplata aestiva,-,NBNSYS0100004508,-,new_species,
INSERT,NEW,-,,-,Scatella stagnalis,-,NBNSYS0000029480,-,new_species,
INSERT,NEW,-,,-,Lejogaster tarsata,-,NBNSYS0000150120,-,new_species,
INSERT,NEW,-,Common Greenbottle,-,Lucilia caesar,-,NBNSYS0000030348,-,new_species,
INSERT,NEW,-,,-,Minilimosina fungicola,-,NBNSYS0000029170,-,new_species,
INSERT,NEW,-,,-,Paradelphomyia nielseni,-,NBNSYS0000008137,-,new_species,
INSERT,NEW,-,,-,Lypha dubia,-,NBNSYS0000030107,-,new_species,
INSERT,NEW,-,,-,Ormosia depilata,-,NBNSYS0000008237,-,new_species,
INSERT,NEW,-,,-,Dinera grisescens,-,NBNSYS0000030053,-,new_species,
INSERT,NEW,-,,-,Tipula signata,-,NBNSYS0000007999,-,new_species,
INSERT,NEW,-,,-,Thaumalea verralli,-,NBNSYS0000027147,-,new_species,
INSERT,NEW,-,,-,Sphaerophoria rueppellii,-,NBNSYS0000006958,-,new_species,
INSERT,NEW,-,,-,Tipula yerburyi,-,NBNSYS0000007987,-,new_species,
INSERT,NEW,-,,-,Philygria vittipennis,-,NBNSYS0000029435,-,new_species,
INSERT,NEW,-,,-,Phytomyza minuscula,-,NBNSYS0000029800,-,new_species,
INSERT,NEW,-,,-,Molophilus occultus,-,NBNSYS0000008267,-,new_species,
INSERT,NEW,-,,-,Parydra littoralis,-,NBNSYS0000029442,-,new_species,
INSERT,NEW,-,Black Gem,-,Microchrysa cyaneiventris,-,NBNSYS0000007826,-,new_species,
INSERT,NEW,-,,-,Anthomyza collini,-,NBNSYS0000029343,-,new_species,
INSERT,NEW,-,,-,Dicranomyia sericata,-,NBNSYS0100002829,-,new_species,
INSERT,NEW,-,,-,Drosophila phalerata,-,NBNSYS0000029538,-,new_species,
INSERT,NEW,-,,-,Diaphorus nigricans,-,NBNSYS0000012757,-,new_species,
INSERT,NEW,-,,-,Spaziphora hydromyzina,-,NBNSYS0000030396,-,new_species,
INSERT,NEW,-,,-,Prionocera turcica,-,NBNSYS0000007962,-,new_species,
INSERT,NEW,-,Fan-bristled Robberfly,-,Dysmachus trigonus,-,NBNSYS0000007896,-,new_species,
INSERT,NEW,-,Holly Leaf Gall Fly,-,Phytomyza ilicis,-,NBNSYS0000029790,-,new_species,
INSERT,NEW,-,,-,Asteia amoena,-,NBNSYS0000029348,-,new_species,
INSERT,NEW,-,,-,Chalcosyrphus eunotus,-,NBNSYS0000007104,-,new_species,
INSERT,NEW,-,,-,Hemerodromia raptoria,-,NBNSYS0000012539,-,new_species,
INSERT,NEW,-,,-,Lotophila atra,-,NBNSYS0000029116,-,new_species,
INSERT,NEW,-,,-,Phytomyza glechomae,-,NBNSYS0100004662,-,new_species,
INSERT,NEW,-,,-,Hilara thoracica,-,NBNSYS0000012513,-,new_species,
INSERT,NEW,-,,-,Phylidorea ferruginea,-,NBNSYS0100004599,-,new_species,
INSERT,NEW,-,,-,Culicoides achrayi,-,NBNSYS0000027220,-,new_species,
INSERT,NEW,-,Black-fringed Moss-snipefly,-,Ptiolina obscura,-,NBNSYS0000007854,-,new_species,
INSERT,NEW,-,,-,Oscinella vastator,-,NBNSYS0000029920,-,new_species,
INSERT,NEW,-,,-,Chamaepsila obscuritarsis,-,NBNSYS0100002308,-,new_species,
INSERT,NEW,-,,-,Sericomyia lappona,-,NBNSYS0000007092,-,new_species,
INSERT,NEW,-,,-,Argyra diaphana,-,NBNSYS0000012785,-,new_species,
INSERT,NEW,-,,-,Dryope decrepita,-,NHMSYS0021535928,-,new_species,
INSERT,NEW,-,,-,Metriocnemus fuscipes,-,NBNSYS0000027511,-,new_species,
INSERT,NEW,-,,-,Trichopsomyia flavitarsis,-,NBNSYS0000007089,-,new_species,
INSERT,NEW,-,,-,Lonchaea chorea,-,NBNSYS0000029245,-,new_species,
INSERT,NEW,-,,-,Brevicornu griseicolle,-,NBNSYS0000011931,-,new_species,
INSERT,NEW,-,,-,Dolichopus pennatus,-,NBNSYS0000012591,-,new_species,
INSERT,NEW,-,,-,Callomyia amoena,-,NBNSYS0000028783,-,new_species,
INSERT,NEW,-,,-,Lonchoptera lutea,-,NBNSYS0000028481,-,new_species,
INSERT,NEW,-,,-,Fannia umbrosa,-,NBNSYS0000030704,-,new_species,
INSERT,NEW,-,,-,Leucozona glaucia,-,NBNSYS0000006918,-,new_species,
INSERT,NEW,-,,-,Crossopalpus humilis,-,NBNSYS0100002680,-,new_species,
INSERT,NEW,-,,-,Drosophila picta,-,NBNSYS0000029539,-,new_species,
INSERT,NEW,-,Common Bluebottle,-,Calliphora vicina,-,NBNSYS0000030337,-,new_species,
INSERT,NEW,-,,-,Tricimba cincta,-,NBNSYS0000029883,-,new_species,
INSERT,NEW,-,,-,Xylota jakutorum,-,NBNSYS0100027469,-,new_species,
INSERT,NEW,-,,-,Lispocephala erythrocera,-,NBNSYS0100003786,-,new_species,
INSERT,NEW,-,Mantis Fly,-,Ochthera mantis,-,NBNSYS0000029458,-,new_species,
INSERT,NEW,-,,-,Tricholauxania praeusta,-,NBNSYS0000029023,-,new_species,
INSERT,NEW,-,,-,Dolichopus sabinus,-,NBNSYS0100027628,-,new_species,
INSERT,NEW,-,,-,Thricops cunctans,-,NBNSYS0000030737,-,new_species,
